obs,exp
118.5,113
123.25,123
131.5,132
122.5,123
134.5,127
150.5,142
121,122
108.5,101
148,140
123,124
121,118
118.5,122
123.5,123
98.5,102
136,137
128.5,126
133.5,125
160.5,156
122,125
135.5,130
114,113
114.5,113
124,122
120.5,124
124,119
123.5,124
122.5,125
159,143
133.5,128
117.5,118
119,116
122.5,122
118.5,119
154.5,151
135.5,136
113.5,115
134,139
136.5,130
121,118
139,136
106.5,108
130.5,128
117.5,121
134,129
138,133
130.5,126
137.5,132
129,125
107.5,107
131.5,128
114.5,117
136.5,131
109.5,111
111.5,103
100,99
114.5,118
140.5,136
118.5,120
124,124
114.5,110
116.5,112
119.5,120
133.5,137
119,116
121.5,121
114.5,118
124.5,130
140,137
125.5,126
124.5,127
134,124
119.5,121
105.5,108
127,128
116.5,120
101.5,105
135,134
131.5,134
148,142
122,124
117.5,112
119,121
111,108
132,128
119.5,120
130,130
113,106
112,103
146.5,140
169,162
131.5,127
123,122
119.5,118
120,115
110,106
126,127
137,136
120.5,120
106.5,104
131.5,126
122,119
166.5,167
153.5,150
123,121
121,117
126,126
118,121
119,118
134,134
137.5,136
146,147
124.25,125
121.5,122
107,106
118.5,119
117.5,116
100.5,106
135.5,124
126.5,126
124,125
116,114
116,112
137.5,142
120,119
117.5,116
151,151
122.5,123
119,121
157.5,151
121,122
122,124
171,164
122,119
118.5,121
119.5,117
153.5,145
109,104
116,102
139,143
142,133
125.5,128
117,106
118,118
129,120
107.5,107
106.5,100
125.5,125
147.5,137
124,123
118.5,121
133,128
148.5,136
150,149
122,112
100,98
142,145
123,123
122,120
116,116
113.5,110
110,107
108.5,104
160.5,157
119,111
138.5,138
157.5,156
117.5,108
132.5,127
134.5,128
137,135
134.5,130
160.25,145
121.5,121
160,147
134.5,132
148,136
132.5,131
130,127
122,125
124,125
123.5,123
138,127
144,141
133.5,129
119.5,120
121.5,120
114.5,120
134,127
101.25,97
118.5,110
124,124
135.5,136
116.25,109
113,109
105,105
136,133
126,123
118,119
122.5,121
149.5,138
105.5,101
104.5,104
137,135
122,118
109,101
128.5,124
103,103
149.5,128
127,127
121,120
117.5,108
109.5,113
148,147.5
119,119
116.5,120
111.5,103
155.5,138
89,90
162,154
123,128
130.5,118
151.5,149
123,123
120,119
114,113
119,106
135.5,132
89,89
135.5,136
122,116
120.5,122
140.5,136
139.5,136
120.5,123
107,105
131.5,127
141.5,130
117.5,115
118.5,120
138.5,127
128.5,127
135.5,131
105.5,103
110.5,113
108,109
128.5,125
120,118
110,101
122,120
108.5,108
123,123
119.5,119
135.5,127
125.5,124
110,103
128,119
115.5,116
117.5,117
111.5,112
120.5,122
97.5,96
153.5,147
118,118
122,122
116,119
107.5,118
126,127
96.5,106
116,116
116.5,112
124,122
102,102
118,119
119,110
155.5,146
112.5,114
121,119
101,102
135.5,137
138,136
139,141
122,123
119.5,124
142.5,141
120.5,120
122.5,122
128,131
119,117
123,127
106.25,107
120.5,120
123,115
139,127
127.75,128
120.5,123
121.5,120
118,120
115,119
135,136
127.5,125
115,115
130.5,131
127.5,122
135.5,131
111,110
135,127
121.5,122
114.5,126
113.5,103
132.5,126
118.5,119
115,115
135.5,140
117.5,111
138,137
103.5,104
100.5,104
136.5,126
125.5,129
105,100
111.5,103
129.5,127
136,135.5
158.5,138
127,126
122,124
145,134
142.5,135
119,107
120.5,121
122,123
125.5,125
124.5,127
156.5,152
121.5,119
132,128
111,103
103.25,104
120.5,122
123,121
124,120
127,111
112.5,115
120,123
126,130
127,134
131.5,136
124.5,121
129.5,123
151.5,150
136,134
123.5,124
112.5,107
158.5,155
141.5,134
117.5,112
124,124
129.5,121
133,125
153.5,129
129.5,132
128,121
123.5,121
119.5,120
124,128
119.5,120
121.5,121
119.5,111
125.5,122
122.5,121
124.5,120
153.5,149
121.5,116
121.5,120
125,124
116,118
122.5,124
122,123
116,114
152.75,147
103,100
128.5,123
86.5,86
116.5,118
121,122
135.5,136
124.5,127
88.5,87
134,126
136.5,136
119,116
128.5,123
153.5,137
143,137
104,103
129,127
154.25,139
143,137
110,117
126.5,128
106.5,100
135.5,129
146.5,144
135.5,134
134.5,127
131,128
143.5,136
122.5,123
124.5,124
118,115
147.5,132
122,122
109.75,106
127.5,128
104.5,109
120,117
124,122
130.5,139
111.5,110
125.5,127
127,135.5
122,124
133.75,133
142.5,140
107.5,100
107.5,106
140.5,136
109,113
119,118
122.5,122
168.5,159
125,122
116,115
121,122
123,121
136.5,129
132.5,129
105.5,104
131,123
126,123
132.5,130
129,127
112.5,109
157,144
132,136
135.5,136
133.5,128
110,115
112.5,111
124,121
104,107
100.5,96
122,121
93.5,94
126.5,117
119.5,121
119,120
121.5,120
139,134
142.5,133
117.5,111
129,131
121,120
123.5,133
112.5,116
120,117
119,108
105,109
121.5,119
113,106
130.5,122
138.25,140
128.5,125
146.5,143
111.5,106
154.5,143
106.5,111
118.5,119
123.5,124
101,103
135,133
109.5,116
115,111
120,123
136.5,135
130.5,126
121.5,120
123,119
135.5,136
113.5,113
133,121
121.5,122
117.5,118
122,121
130,124
119,120
155,159
119.5,123
114.5,115
95.5,95
94,96
160.5,150
123.5,123
103.5,100
139,129
122.5,122
116,110
128.5,121
118.5,121
101.5,97
107.5,109
119.5,122
136.5,143
105.75,104
120.5,116
125.5,125
117.5,113
109.5,105
160.5,145
117.5,121
174.5,168
117,112
121.5,122
117.75,120
132,125
114.5,113
152,134
118.5,122
149.5,149
114.5,112
119.5,117
116.5,116
121.5,118
97.5,96
107.5,101
106.5,119
103,105
124.5,120
133,131
136.5,134
119.5,118
114,117
135.5,127
107,106
110,111
125,123
124.5,127
117.5,111
117.5,119
117.5,119
140.5,122.5
105,103
109.5,112
125.5,122
134.5,132
143,130
138.5,132
122.5,124
128.5,124
118.5,115
123,126
132,126
137.5,143
134,127
123,115
132,136
112.5,109
133.5,124
121.5,119
130.5,122
117.5,115
137.5,124
142.5,137
148.5,143
130,131
111.5,107
142.75,136
105.5,103
111.5,114
124.5,124
100,103
114,117
108.5,105
113,108
116,102
104,104
104.5,107
121,121
138,143
124,122
122.25,122
132,133
118,104
125,120
114.5,113
114.5,109
126,126
119.5,120
161.5,158
117.5,112
104,101
153.5,145
121,117
124,122
159.5,139
153.5,133
157.5,155
123.5,123
117.5,119
129,125
110.5,114
120,110
127.5,125
120.5,121
154,147
122.5,123
114,111
123.5,124
113.5,103
124,113
121.5,122
122.5,118
136,131
118.5,111.5
124,120
98.5,93
122.5,122
140.5,136
104,109
106.5,104
132.5,135
121.5,121
121.5,115
125.5,130
102.5,106
133.5,130
160.5,142
144.25,133
125.5,124
120.5,119
122,121
119,119
115.5,107
102,102
118,121
129.5,126
120,120
121.5,119
115,111
125,123
135,130
122.5,122
148.5,134
110,118
119,115
139.5,135
160,155
114,111
124,125
119.5,120
118.5,114
153.5,138
114,113
103,104
119.5,121
123,124
104.5,108
104.5,112
126.5,126
107,105
119,115
132.5,127
137.5,127
139.5,143
119.25,116
114.5,115
134,127
121,122
131.5,125
160.5,156
119.5,117.5
124,117
132.5,122
126,124
138,132
103,106
132,134
135.5,130
132.5,133
120.5,118
141.5,136
122,119
124,121
122.5,120
135,134
98.5,98
113,105
114.5,112
119.5,118
159.25,152
136.5,135
160,149
157,155
111.5,111
125,125
131,126
121.5,122
154.5,131
155.5,144
112.5,116
102,100
121.5,123
119.5,119
135,138
116.5,109
92,94
133.5,134
147.5,130
104.5,100
111.5,106
117,115
136,130
98,97
124,123
141,137
130,127
119,120
126.5,122
114.5,113
114.5,111
119.25,118
152,145
107.5,106
94,99
118,119
131,129
121.5,118
115.5,119
97,98
137,126
131.5,126
147,140
129.5,126
121,123
145.5,143
140.5,141
130.5,121
118,116
100,99
123.5,123
120,120
132.5,131
147.5,139
133.5,136
136,136
112.5,108
100.5,102
112,109
115.5,115
119,116
141,137
135.5,139
122.5,122
106.5,102
114.5,112.5
106,104
125,124
114.5,109
124,122
120.5,119
118,111
129.75,126
113.5,106
140.5,134
122,121
137,134
143.5,139
122.5,122
173,169
128.5,128
119.5,119
148.5,139
119.5,116
124,125
110.5,117
120.5,121
123,122
123,124
101.5,101
130.5,125
118,119
131.5,126
128,130
132.5,126
106.5,111.5
134,130
124.75,124
126,126
108.5,107
128,124
124.5,127
155,149
122.5,124
133.75,123
133,135
120,121
130.5,127
128.5,131
135.25,134
123.5,121
121,122
122,123
107.5,117
162,159
131.5,125
116,110
102.5,100
119.5,124
111.5,99
103.5,101
123.5,123
136.5,128
139.5,139
120,122
119,120
142,138
102.5,104
123.5,125
113.5,113
151.5,148
138,127
119.5,119
140.5,128
135.5,135
93,93
126.5,127
126.5,124
115.5,116
120,117
100,96
118,119
120,121
141,139
156,144
124,128
114,121
114,113
119.5,123
105.5,100
97,109
116.5,107
120,121
118,116
120.5,121
122.5,123
106.5,102
113.5,102
116,120
139.5,134
123.5,129
122,120
114.5,114
144.5,139
137,133
119,121
135,128
112.5,103
120,119
147,145
94,97
145.5,139
101,101
128.5,125
126.5,122
136.5,125
111.5,111
115,112
156,143
132.5,130
135.5,134
122,120
136.5,137
146.5,133
148,138
135.5,131
126.5,125
119.5,116
104,99
126.5,126
124.5,124
118.5,116
113.5,109
121,121
134.5,129
122.5,122
120,115
122.5,124
130,126
126,125
114,109
131,126
125,122
113.5,115
121,121
139.25,143
120,121
121.5,122
109,113
154,152
122,128
135.5,137
126,126
114,110
146.5,148
119.5,127
114.5,108
122,125
121,120
119,110
139.5,135
142.5,137
126.5,125
131,126
119,118
123,121
114,116
109,112
127.5,126
126,124
105,107
110,112
122,124
135.5,130
155.5,138
112.5,110
116,118
134,127
120,119
100,101
156.5,151
102.5,101
137,128
110.5,117
118.5,119
94,97
133.5,126
121,120
126,127
143.5,141
152.5,144
112.5,112
111.5,113
122.5,122
124.5,123
164,159
141.5,139
148.5,140
119.5,115
122,120
153.5,150
153.5,143
113.5,111
136.5,143
140.5,139
129,124
121,120
121,119
124,123
134.5,137
136,128
138,135
100,103
139.5,136
114.5,116
135,135
107,106
145.5,142
125.5,125
123.5,124
132.5,121
124.5,121
122,109
119.5,119
113.5,103
117.5,119
102,92.5
113.5,108
123.5,123
119.5,119
121.5,117
135,128
122,122
93.5,98
122.5,123
135.5,132
116,114
114.5,106
139.5,137
134,124
139.5,134
126.5,124
138,130
158.5,148
123.5,123
146,142
100.5,98
126,123
153,134
135.5,129
129,126
146,136
133.5,131
153.5,127
115.5,120
117,120
154,154
151.5,143
120.5,116
140.5,133
139.5,136
115,113
118,111
151.5,149
119,119.5
115.5,111
136.5,130
133.5,129
97,101
99,93
121.5,119
122,120
132.5,126
134,132
137,137
134,136
120.5,123
137,137
147.5,144
131,132
103,99
121.5,124
117.5,120
147.5,145
138.5,124
125.5,126
125,123
127.5,124
130,130
120,122
121,125
112.5,112
131.5,123
109.5,101
124,124
119,119
127.5,125
122.5,117
124.5,123
140.5,140
122,122
145.5,138
134.5,127
130,133
119.5,126
115,106
105.5,106
93,96
155.5,153
117,121
132.5,131
130.5,129
134,133
122.5,124
127,123
137,133
119.5,122
114.5,116
137,134
